Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,currentPrice,adr_pct_20_days,volume_dollars_1day,price_growth_one_month,move_higher_3_months_percent,avg_volume_10_days,volume_cal
ELVN,Enliven Therapeutics Inc. Common Stock,$12.27,-0.48,-3.765%,505670909.0,United States,2020.0,79511,Health Care,Biotechnology: Pharmaceutical Preparations,12.64,8.792537156305634,10603.710310935974,1.1294396474701889,30.110936808194104,135120.0,384295.0
DRCT,Direct Digital Holdings Inc. Class A Common Stock,$26.79,3.88,16.936%,382304686.0,United States,2022.0,257717,Technology,Computer Software: Programming Data Processing,28.87,13.965228343142577,16338.19953918457,1.1270832567579248,153.03269360735575,194030.0,230215.0
PIK,Kidpik Corp. Common Stock,$4.50,-0.35,-7.216%,8425949.0,United States,2021.0,377309,Consumer Discretionary,Catalog/Specialty Distribution,4.73,31.86716493384609,216.9479953765869,1.1257861158967684,104.00000678168402,5046828.0,130803.0
ISPOW,Inspirato Incorporated Warrant,$0.0185,0.0031,20.13%,0.0,United States,2021.0,5123,Finance,Blank Checks,0.0141,14.321428177974793,0.33299998566508293,1.1249998981365983,74.99999708961708,11770.0,2925.0
GENK,GEN Restaurant Group Inc. Class A Common Stock,$6.69,0.41,6.529%,216598925.0,United States,2023.0,49672,Consumer Discretionary,Restaurants,9.04,8.30616531595323,1799.1999206542969,1.124837393259631,32.38636001882965,170790.0,108395.0
SMMT,Summit Therapeutics Inc. Common Stock ,$4.51,0.20,4.64%,3164654277.0,United States,2015.0,2770571,Health Care,Biotechnology: Pharmaceutical Preparations,4.115,10.430783241789165,81863.96762108803,1.1246105458552453,40.858209005016136,3007620.0,1544026.0
ELEV,Elevation Oncology Inc. Common stock,$4.17,0.09,2.206%,202875150.0,United States,2021.0,329127,Health Care,Biotechnology: Pharmaceutical Preparations,4.36,14.12200977049265,75662.17914438248,1.124444431728787,842.8273989537093,1236780.0,205643.0
ANNX,Annexon Inc. Common Stock,$5.77,1.18,25.708%,307188943.0,United States,2020.0,4709440,Health Care,Biotechnology: Pharmaceutical Preparations,6.29,11.918552093171431,24286.640853881836,1.1243524016935627,119.0812712512679,2502630.0,756668.0
CSPI,CSP Inc. Common Stock,$41.30,1.01,2.507%,200592035.0,United States,1982.0,105488,Technology,EDP Services,43.4,17.347287752721073,6104.700164794922,1.124316256793803,124.2658378232838,92600.0,41757.0
XBIT,XBiotech Inc. Common Stock,$6.31,-0.02,-0.316%,192057243.0,United States,2015.0,53727,Health Care,Pharmaceuticals and Biotechnology,6.63,8.030735996482473,590.5500121116638,1.1218335625487839,74.20923637025997,55450.0,46624.0
SRZN,Surrozen Inc. Common Stock,$13.28,-0.1199,-0.895%,27069102.0,United States,,7055,Health Care, Medicinal Chemicals and Botanical Products ,13.325,6.51264894669068,2237.5801277160645,1.1216783707401519,62.77363758230208,5730.0,5465.0
PIRS,Pieris Pharmaceuticals Inc. Common Stock,$0.1743,0.0033,1.93%,17229891.0,United States,,287129,Health Care,Biotechnology: Pharmaceutical Preparations,0.21,11.48051557176335,285.7369926571846,1.1208053107337062,46.687889589422724,1383870.0,1887781.0
MINM,Minim Inc. Common Stock,$6.17,1.16,23.154%,17208253.0,United States,,4583499,Utilities,Telecommunications Equipment,6.07,21.19603190684074,1274.5600054264069,1.1200000047683716,145.5401412047082,1033090.0,142495.0
ORGS,Orgenesis Inc. Common Stock,$0.8924,0.0324,3.767%,28447091.0,United States,,35928,Health Care,Biotechnology: Pharmaceutical Preparations,0.876,13.356472891558413,372.68000158667564,1.1200000047683716,73.46938924459751,92930.0,9825.0
SYRE,Spyre Therapeutics Inc. Common Stock,$44.51,2.19,5.175%,1609078384.0,United States,2016.0,295269,Health Care,Biotechnology: Pharmaceutical Preparations,40.07,11.325790138281032,98506.0834274292,1.1192576191721204,141.34148019328885,768110.0,256843.0
APRE,Aprea Therapeutics Inc. Common stock,$5.55,-0.61,-9.903%,20738535.0,United States,2019.0,26364,Health Care,Biotechnology: Pharmaceutical Preparations,6.55,10.809878311519693,582.1199855804443,1.1182571938846526,69.48973412416571,136890.0,11473.0
